년,월,국적지역,체류외국인수
2022,02,네팔,37216
2022,02,인도네시아,35684
2022,02,카자흐스탄,29251
2022,02,일본,29238
2022,02,미얀마,26161
2022,02,스리랑카,20381
2022,02,타이완,18801
2022,02,방글라데시,16776
2022,02,파키스탄,12440
2022,02,인도,11837
2022,02,키르기즈,6450
2022,02,말레이시아,5200
2022,02,티모르민주공화국,2462
2022,02,홍콩,2429
2022,02,터키,2092
2022,02,이란,1939
2022,02,라오스,1787
2022,02,시리아,1555
2022,02,싱가포르,1451
2022,02,타지키스탄,1303
2022,02,예멘공화국,1085
2022,02,사우디아라비아,933
2022,02,아프가니스탄,850
2022,02,아랍에미리트연합,575
2022,02,이라크,544
2022,02,요르단,524
2022,02,투르크메니스탄,443
2022,02,이스라엘,245
2022,02,브루나이,123
2022,02,마카오,102
2022,02,쿠웨이트,67
2022,02,팔레스타인,66
2022,02,오만,51
2022,02,레바논,45
2022,02,카타르,43
2022,02,부탄,39
2022,02,키프로스,33
2022,02,홍콩거주난민,15
2022,02,바레인,12
2022,02,몰디브,2
2022,02,미국,143463
2022,02,캐나다,22964
2022,02,브라질,1649
2022,02,멕시코,1107
2022,02,페루,728
2022,02,콜롬비아,555
2022,02,아르헨티나,465
2022,02,칠레,295
2022,02,에콰도르,278
2022,02,파라과이,211
2022,02,베네수엘라,211
2022,02,과테말라,120
2022,02,코스타리카,99
2022,02,도미니카공화국,99
2022,02,파나마,86
2022,02,볼리비아,79
2022,02,온두라스,76
2022,02,자메이카,60
2022,02,엘살바도르,57
2022,02,니카라과,46
2022,02,우루과이,44
2022,02,아이티,42
2022,02,쿠바,40
2022,02,트리니다드토바고,24
2022,02,세인트크리스토퍼네비스,18
2022,02,도미니카연방,18
2022,02,벨리즈,8
2022,02,바베이도스,7
2022,02,수리남,6
2022,02,바하마,5
2022,02,가이아나,5
2022,02,세인트루시아,3
2022,02,앤티카바부다,1
2022,02,세인트빈센트그레나딘,1
2022,02,그레나다,1
2022,02,한국계러시아인,27665
2022,02,러시아연방,21274
2022,02,영국,6716
2022,02,프랑스,5695
2022,02,독일,4638
2022,02,우크라이나,3831
2022,02,이탈리아,1341
2022,02,스페인,1292
2022,02,네덜란드,1097
2022,02,스웨덴,760
2022,02,아일랜드,745
2022,02,폴란드,657
2022,02,벨기에,592
2022,02,스위스,557
2022,02,노르웨이,407
2022,02,덴마크,395
2022,02,오스트리아,391
2022,02,루마니아,387
2022,02,핀란드,367
2022,02,그리스,310
2022,02,벨로루시,298
2022,02,아제르바이잔,263
2022,02,헝가리,229
2022,02,체코,221
2022,02,포르투갈,198
2022,02,불가리아,173
2022,02,크로아티아,160
2022,02,리투아니아,160
2022,02,조지아,103
2022,02,슬로바크,94
2022,02,라트비아,84
2022,02,세르비아,78
2022,02,영국외지민,77
2022,02,아르메니아,71
2022,02,슬로베니아,58
2022,02,몰도바,57
2022,02,에스토니아,54
2022,02,알바니아,44
2022,02,룩셈부르크,24
2022,02,몰타,17
2022,02,아이슬란드,16
2022,02,마케도니아,13
2022,02,몬테네그로,11
2022,02,보스니아헤르체고비나,10
2022,02,코소보,5
2022,02,교황청,2
2022,02,유고슬라비아,1
2022,02,영국외지시민,1
2022,02,영국속령지시민,1
2022,02,안도라,1
2022,02,스발바르,1
2022,02,세르비아몬테네그로,1
2022,02,산마리노,1
2022,02,모나코,1
2022,02,오스트레일리아,7570
2022,02,뉴질랜드,3479
2022,02,피지,74
2022,02,마샬군도,15
2022,02,바누아투,14
2022,02,파푸아뉴기니,13
2022,02,팔라우,10
2022,02,미이크로네시아,9
2022,02,솔로몬군도,6
2022,02,통가,5
2022,02,사모아,5
2022,02,나우루,5
2022,02,키리바시,1
2022,02,남아프리카공화국,2923
2022,02,이집트,2807
2022,02,나이지리아,2780
2022,02,모로코,1449
2022,02,가나,1380
2022,02,에티오피아,1071
2022,02,카메룬,879
2022,02,리비아,768
2022,02,우간다,532
2022,02,라이베리아,518
2022,02,알제리,470
2022,02,케냐,428
2022,02,탄자니아,340
2022,02,튀니지,335
2022,02,세네갈,330
2022,02,수단,286
2022,02,르완다,271
2022,02,기니,271
2022,02,콩고민주공화국,267
2022,02,말리,220
2022,02,코트디부아르,218
2022,02,앙골라,147
2022,02,부룬디,144
2022,02,감비아,129
2022,02,짐바브웨,121
2022,02,잠비아,100
2022,02,시에라리온,92
2022,02,가봉,88
2022,02,모잠비크,60
2022,02,부르키나파소,51
2022,02,토고,46
2022,02,말라위,38
2022,02,콩고,32
2022,02,마다가스카르,32
2022,02,남수단공화국,27
2022,02,베냉,25
2022,02,소말리아,24
2022,02,에스와티니,22
2022,02,보츠와나,22
2022,02,기니비사우,22
2022,02,모리셔스,20
2022,02,모리타니,16
2022,02,에리트레아,15
2022,02,차드,12
2022,02,중앙아프리카공화국,10
2022,02,적도기니,10
2022,02,니제르,9
2022,02,자이르,7
2022,02,레소토,6
2022,02,코모로,5
2022,02,지부티,5
2022,02,세이셸,3
2022,02,상투메프린시페,2
2022,02,나미비아,2
2022,02,카보베르데,1
2022,02,무국적,148
2022,02,미등록국가,58
2022,02,국제연합,49
2022,02,미상,1
2022,03,가나,1369
2022,03,가봉,92
2022,03,가이아나,4
2022,03,감비아,128
2022,03,과테말라,122
2022,03,교황청,2
2022,03,국제연합,54
2022,03,그레나다,1
2022,03,그리스,322
2022,03,기니,272
2022,03,기니비사우,22
2022,03,나미비아,2
2022,03,나우루,5
2022,03,나이지리아,2810
2022,03,남수단공화국,27
2022,03,남아프리카공화국,2961
2022,03,네덜란드,1110
2022,03,네팔,37692
2022,03,노르웨이,383
2022,03,뉴질랜드,3495
2022,03,니제르,9
2022,03,니카라과,44
2022,03,덴마크,400
2022,03,도미니카공화국,102
2022,03,도미니카연방,18
2022,03,독일,4745
2022,03,라오스,1756
2022,03,라이베리아,520
2022,03,라트비아,89
2022,03,러시아연방,49040
2022,03,레바논,46
2022,03,레소토,6
2022,03,루마니아,400
2022,03,룩셈부르크,24
2022,03,르완다,269
2022,03,리비아,842
2022,03,리투아니아,137
2022,03,마다가스카르,31
2022,03,마샬군도,15
2022,03,마카오,105
2022,03,마케도니아,13
2022,03,말라위,38
2022,03,말레이시아,5221
2022,03,말리,221
2022,03,멕시코,1123
2022,03,모나코,1
2022,03,모로코,1459
2022,03,모리셔스,20
2022,03,모리타니,15
2022,03,모잠비크,45
2022,03,몬테네그로,16
2022,03,몰도바,55
2022,03,몰디브,2
2022,03,몰타,17
2022,03,몽골,37846
2022,03,무국적,149
2022,03,미국,145483
