대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8,E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타
남아메리카주,멕시코,여성,17,4,609,0,0,1,1,0,201,0,103,0,2,0,2,0,12,3,0,2,0,0,5,20,0,0,0,9,17,29,8,6,218,2,0,0,3,32
남아메리카주,페루,남성,27,15,278,1,0,14,1,0,17,0,6,0,1,0,2,2,2,0,0,1,0,0,2,7,0,4,0,8,11,1,1,5,34,17,0,0,0,6
남아메리카주,페루,여성,19,11,202,2,0,4,1,0,58,0,37,0,2,0,1,0,9,0,0,1,0,0,2,7,0,2,0,5,11,11,0,6,117,11,0,0,0,6
남아메리카주,콜롬비아,남성,27,33,83,0,0,0,1,0,30,0,14,0,0,0,0,1,2,1,3,3,0,0,13,15,0,0,0,4,22,4,0,3,43,2,0,0,0,7
남아메리카주,콜롬비아,여성,26,22,159,0,0,0,1,0,74,0,57,0,11,1,1,0,6,0,1,0,0,0,16,9,0,0,0,6,31,13,0,6,84,10,0,0,0,21
남아메리카주,아르헨티나,남성,10,0,5,122,0,34,7,0,3,0,4,0,3,0,1,2,1,0,0,1,0,2,5,2,0,1,0,15,5,3,34,7,13,10,7,0,3,2
남아메리카주,아르헨티나,여성,9,0,5,145,0,38,11,0,19,0,7,0,3,0,0,0,3,0,0,1,0,0,1,1,0,0,0,11,4,3,34,3,47,7,18,0,2,1
남아메리카주,칠레,남성,14,0,60,8,0,4,5,0,13,0,2,0,2,0,2,1,2,1,0,3,0,0,2,4,0,0,0,0,4,1,5,4,13,0,15,0,0,1
남아메리카주,칠레,여성,12,0,78,1,0,3,1,0,42,0,25,0,1,0,0,0,2,0,3,2,0,0,1,4,0,0,0,1,3,14,3,1,51,0,72,0,0,6
남아메리카주,에콰도르,남성,18,65,1,22,0,11,1,0,20,0,6,0,0,0,1,0,2,0,0,2,1,2,7,3,0,0,0,1,6,3,4,3,15,4,0,0,0,3
남아메리카주,에콰도르,여성,8,5,1,41,0,11,0,0,49,0,14,0,0,0,0,0,4,0,3,0,0,0,5,9,0,0,0,6,6,8,2,2,32,0,0,0,0,3
남아메리카주,파라과이,남성,1,0,0,30,0,37,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,4,0,9,1,4,0,0,0,0,0
남아메리카주,파라과이,여성,2,0,0,32,0,38,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,10,3,23,0,0,0,0,1
남아메리카주,베네수엘라,남성,2,2,23,1,0,1,1,0,6,0,1,0,0,0,2,2,0,0,0,1,0,2,7,3,0,0,0,4,2,5,3,0,7,3,0,0,0,1
남아메리카주,베네수엘라,여성,4,0,39,0,0,1,1,0,15,0,7,0,0,0,0,1,0,1,2,0,0,0,2,10,0,0,0,5,4,5,1,1,41,9,0,0,0,11
남아메리카주,아이티,남성,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,105,0,0,0,4
남아메리카주,아이티,여성,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,3
남아메리카주,코스타리카,남성,2,3,22,0,0,1,1,0,4,0,2,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,5,0,0,0,0,1
남아메리카주,코스타리카,여성,1,3,34,0,0,0,0,0,7,0,8,0,6,0,0,1,2,0,0,0,0,0,0,3,0,0,0,1,1,2,2,1,18,0,0,0,0,6
남아메리카주,과테말라,남성,4,0,25,3,0,7,0,0,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,6,7,0,0,4,4,1,0,0,0,0
남아메리카주,과테말라,여성,3,0,15,5,0,7,0,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,5,11,0,0,0,1,2
남아메리카주,도미니카공화국,남성,8,0,30,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,3,0,0,0,0,5,1,0,0,0,3
남아메리카주,도미니카공화국,여성,7,0,19,0,0,0,1,0,12,1,10,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,3,2,0,2,3,2,0,0,0,8
남아메리카주,볼리비아,남성,4,1,0,2,0,15,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,2,0,1,1,2,3,0,0,0,0
남아메리카주,볼리비아,여성,4,1,0,3,0,12,0,0,13,0,4,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,3,2,0,3,1,18,1,0,0,0,2
