대륙,국적,성별,D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),기타(Other)
남아메리카주,페루,여성,0,58,0,36,0,2,0,1,0,9,0,0,1,0,0,2,7,0,2,0,5,9,9,6,115,11,0,0,31
남아메리카주,에콰도르,남성,0,20,0,6,0,0,0,1,0,2,0,0,2,1,1,7,3,0,0,0,1,6,3,3,15,4,0,0,84
남아메리카주,에콰도르,여성,0,48,0,14,0,0,0,0,0,4,0,3,0,0,0,5,9,0,0,0,6,6,8,2,32,0,0,0,15
남아메리카주,칠레,남성,0,13,0,1,0,2,0,2,1,2,1,0,3,0,0,2,4,0,0,0,0,4,1,4,13,0,13,0,12
남아메리카주,칠레,여성,0,42,0,25,0,1,0,0,0,2,0,3,2,0,0,1,4,0,0,0,0,3,12,1,51,0,67,0,15
남아메리카주,아르헨티나,남성,0,3,0,4,0,3,0,1,2,1,0,0,1,0,2,5,2,0,1,0,8,5,3,7,13,10,6,0,11
남아메리카주,아르헨티나,여성,0,19,0,7,0,3,0,0,0,3,0,0,1,0,0,1,1,0,0,0,4,4,3,3,47,7,15,0,8
남아메리카주,베네수엘라,남성,0,6,0,1,0,0,0,2,2,0,0,0,1,0,2,7,3,0,0,0,3,2,5,0,7,3,0,0,5
남아메리카주,베네수엘라,여성,0,15,0,7,0,0,0,0,1,0,1,2,0,0,0,2,10,0,0,0,5,4,5,1,40,9,0,0,7
남아메리카주,아이티,남성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,105,0,0,2
남아메리카주,아이티,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1
남아메리카주,코스타리카,남성,0,4,0,2,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,5,0,0,0,5
남아메리카주,코스타리카,여성,0,7,0,8,0,6,0,0,1,2,0,0,0,0,0,0,3,0,0,0,1,1,2,1,18,0,0,0,5
남아메리카주,볼리비아,남성,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,2,0,1,2,3,0,0,5
남아메리카주,볼리비아,여성,0,13,0,3,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,3,2,0,1,18,1,0,0,4
남아메리카주,도미니카공화국,남성,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,3,0,0,0,5,1,0,0,6
남아메리카주,도미니카공화국,여성,0,12,1,10,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,3,2,2,3,2,0,0,8
남아메리카주,파라과이,남성,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,0,1,4,0,0,0,1
남아메리카주,파라과이,여성,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,3,23,0,0,0,3
남아메리카주,과테말라,남성,0,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,6,6,0,4,4,1,0,0,3
남아메리카주,과테말라,여성,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,5,11,0,0,0,3
남아메리카주,파나마,남성,0,4,0,3,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,1,0,1,3,0,0,0,9
남아메리카주,파나마,여성,0,15,0,5,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,0,8,0,0,0,7
남아메리카주,엘살바도르,남성,0,4,0,2,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,1,1,2,0,0,0,3
남아메리카주,엘살바도르,여성,0,14,0,5,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,1,1,13,0,0,0,1
남아메리카주,온두라스,남성,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,3,3,3,0,0,0,4
남아메리카주,온두라스,여성,0,8,0,5,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,3,1,2,0,10,0,0,0,4
남아메리카주,쿠바,남성,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,3,0,11,0,0,0,1
남아메리카주,쿠바,여성,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,3,0,8,0,0,0,0
남아메리카주,니카라과,남성,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
남아메리카주,니카라과,여성,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17,1,0,0,2
남아메리카주,우루과이,남성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,3
남아메리카주,우루과이,여성,0,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,1,10,0,0,0,6
남아메리카주,자메이카,남성,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,2,3,1,0,0,1
남아메리카주,자메이카,여성,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,1,1,0,0,0,2
남아메리카주,트리니다드토바고,남성,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
남아메리카주,트리니다드토바고,여성,0,4,0,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3
남아메리카주,도미니카연방,남성,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0
남아메리카주,도미니카연방,여성,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0
남아메리카주,가이아나,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
남아메리카주,가이아나,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5
남아메리카주,바하마,남성,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,바하마,여성,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
남아메리카주,세인트크리스토퍼네비스,남성,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0
남아메리카주,세인트크리스토퍼네비스,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
남아메리카주,앤티카바부다,남성,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
남아메리카주,앤티카바부다,여성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,벨리즈,남성,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,벨리즈,여성,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,바베이도스,여성,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,그레나다,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
남아메리카주,세인트빈센트그레나딘,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
남아메리카주,세인트빈센트그레나딘,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트루시아,남성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트루시아,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
유럽주,러시아(연방),남성,1,233,0,171,1,9,30,133,52,26,16,1,51,2,14,75,136,0,5,0,1826,293,488,194,141,6808,0,0,396
유럽주,러시아(연방),여성,0,1165,0,829,1,3,0,29,3,106,17,13,5,0,0,169,84,0,11,0,2404,495,778,526,1922,2446,0,0,342
유럽주,프랑스,남성,2,722,0,100,6,6,17,135,114,15,22,6,15,4,6,37,199,0,0,0,22,103,121,128,553,1,229,0,117
유럽주,프랑스,여성,4,872,0,229,3,3,2,29,6,37,5,21,6,0,1,43,140,0,0,0,5,76,170,31,304,4,563,0,80
유럽주,영국,남성,0,83,0,15,3,6,18,68,53,19,68,683,17,17,9,24,234,0,0,0,35,129,108,207,1017,1,37,0,97
유럽주,영국,여성,0,228,0,31,3,2,1,6,4,21,11,1054,1,0,0,15,161,0,0,0,24,88,118,47,246,2,58,0,75
유럽주,독일,남성,0,415,0,20,1,9,15,159,29,10,55,7,21,2,8,15,87,0,0,0,22,39,68,124,301,1,49,0,63
유럽주,독일,여성,0,699,0,73,1,9,4,8,0,18,6,10,7,0,0,28,55,0,0,0,7,49,120,53,157,0,196,0,94
유럽주,우크라이나,남성,0,24,0,2,0,2,3,1,37,2,0,0,11,1,0,32,24,0,1,0,341,32,77,83,30,61,0,173,23
유럽주,우크라이나,여성,0,104,0,119,0,0,0,3,1,18,1,1,3,0,0,91,14,0,0,0,478,51,111,58,230,179,0,275,33
