국적,연령대,값,데이터기준일자
노르웨이,55-59세,0,2026-05-31
노르웨이,60-64세,6,2026-05-31
노르웨이,65-69세,0,2026-05-31
노르웨이,70-74세,1,2026-05-31
노르웨이,75-79세,0,2026-05-31
노르웨이,80-84세,0,2026-05-31
노르웨이,85-89세,0,2026-05-31
노르웨이,90-94세,0,2026-05-31
노르웨이,90-95세,1,2026-05-31
뉴질랜드,0-4세,0,2026-05-31
뉴질랜드,05-09세,0,2026-05-31
뉴질랜드,10-14세,0,2026-05-31
뉴질랜드,15-19세,0,2026-05-31
뉴질랜드,20-24세,0,2026-05-31
뉴질랜드,25-29세,0,2026-05-31
뉴질랜드,30-34세,0,2026-05-31
뉴질랜드,35-39세,1,2026-05-31
뉴질랜드,40-44세,0,2026-05-31
뉴질랜드,45-49세,1,2026-05-31
뉴질랜드,50-54세,3,2026-05-31
뉴질랜드,55-59세,1,2026-05-31
뉴질랜드,60-64세,0,2026-05-31
뉴질랜드,65-69세,1,2026-05-31
뉴질랜드,70-74세,0,2026-05-31
뉴질랜드,75-79세,0,2026-05-31
뉴질랜드,80-84세,0,2026-05-31
뉴질랜드,85-89세,0,2026-05-31
뉴질랜드,90-94세,0,2026-05-31
도미니카공화국,0-4세,0,2026-05-31
도미니카공화국,05-09세,0,2026-05-31
도미니카공화국,10-14세,0,2026-05-31
도미니카공화국,15-19세,0,2026-05-31
도미니카공화국,20-24세,0,2026-05-31
도미니카공화국,25-29세,0,2026-05-31
도미니카공화국,30-34세,0,2026-05-31
도미니카공화국,35-39세,0,2026-05-31
도미니카공화국,40-44세,1,2026-05-31
도미니카공화국,45-49세,0,2026-05-31
도미니카공화국,50-54세,1,2026-05-31
도미니카공화국,55-59세,0,2026-05-31
도미니카공화국,60-64세,0,2026-05-31
도미니카공화국,65-69세,0,2026-05-31
도미니카공화국,70-74세,0,2026-05-31
도미니카공화국,75-79세,0,2026-05-31
도미니카공화국,80-84세,0,2026-05-31
도미니카공화국,85-89세,0,2026-05-31
도미니카공화국,90-94세,0,2026-05-31
독일,0-4세,0,2026-05-31
독일,05-09세,0,2026-05-31
독일,10-14세,0,2026-05-31
독일,15-19세,0,2026-05-31
독일,20-24세,0,2026-05-31
독일,25-29세,0,2026-05-31
독일,30-34세,0,2026-05-31
독일,35-39세,0,2026-05-31
독일,40-44세,1,2026-05-31
독일,45-49세,0,2026-05-31
독일,50-54세,0,2026-05-31
독일,55-59세,1,2026-05-31
독일,60-64세,0,2026-05-31
독일,65-69세,0,2026-05-31
독일,70-74세,0,2026-05-31
독일,75-79세,0,2026-05-31
