국적,연령대,값,데이터기준일자
스페인,15-19세,0,2026-05-31
스페인,20-24세,0,2026-05-31
스페인,25-29세,0,2026-05-31
스페인,30-34세,0,2026-05-31
스페인,35-39세,0,2026-05-31
스페인,40-44세,1,2026-05-31
스페인,45-49세,0,2026-05-31
스페인,50-54세,0,2026-05-31
스페인,55-59세,0,2026-05-31
스페인,60-64세,0,2026-05-31
스페인,65-69세,0,2026-05-31
스페인,70-74세,0,2026-05-31
스페인,75-79세,0,2026-05-31
스페인,80-84세,0,2026-05-31
스페인,85-89세,0,2026-05-31
스페인,90-94세,0,2026-05-31
시리아,0-4세,0,2026-05-31
시리아,05-09세,0,2026-05-31
시리아,10-14세,0,2026-05-31
시리아,15-19세,0,2026-05-31
시리아,20-24세,0,2026-05-31
시리아,25-29세,0,2026-05-31
시리아,30-34세,0,2026-05-31
시리아,35-39세,0,2026-05-31
시리아,40-44세,1,2026-05-31
시리아,45-49세,0,2026-05-31
시리아,50-54세,0,2026-05-31
시리아,55-59세,0,2026-05-31
시리아,60-64세,0,2026-05-31
시리아,65-69세,0,2026-05-31
시리아,70-74세,0,2026-05-31
시리아,75-79세,0,2026-05-31
시리아,80-84세,0,2026-05-31
시리아,85-89세,0,2026-05-31
시리아,90-94세,0,2026-05-31
싱가포르,0-4세,0,2026-05-31
싱가포르,05-09세,0,2026-05-31
싱가포르,10-14세,0,2026-05-31
싱가포르,15-19세,0,2026-05-31
싱가포르,20-24세,0,2026-05-31
싱가포르,25-29세,0,2026-05-31
싱가포르,30-34세,0,2026-05-31
싱가포르,35-39세,0,2026-05-31
싱가포르,40-44세,0,2026-05-31
싱가포르,45-49세,4,2026-05-31
싱가포르,50-54세,0,2026-05-31
싱가포르,55-59세,2,2026-05-31
싱가포르,60-64세,0,2026-05-31
싱가포르,65-69세,0,2026-05-31
싱가포르,70-74세,0,2026-05-31
싱가포르,75-79세,0,2026-05-31
싱가포르,80-84세,0,2026-05-31
싱가포르,85-89세,0,2026-05-31
싱가포르,90-94세,0,2026-05-31
아이티,0-4세,1,2026-05-31
아이티,05-09세,0,2026-05-31
아이티,10-14세,0,2026-05-31
아이티,15-19세,0,2026-05-31
아이티,20-24세,0,2026-05-31
아이티,25-29세,9,2026-05-31
아이티,30-34세,11,2026-05-31
아이티,35-39세,5,2026-05-31
아이티,40-44세,5,2026-05-31
아이티,45-49세,2,2026-05-31
아이티,50-54세,0,2026-05-31
아이티,55-59세,0,2026-05-31
아이티,60-64세,0,2026-05-31
아이티,65-69세,0,2026-05-31
아이티,70-74세,0,2026-05-31
아이티,75-79세,0,2026-05-31
아이티,80-84세,0,2026-05-31
아이티,85-89세,0,2026-05-31
아이티,90-94세,0,2026-05-31
아일랜드,0-4세,0,2026-05-31
아일랜드,05-09세,0,2026-05-31
아일랜드,10-14세,0,2026-05-31
아일랜드,15-19세,0,2026-05-31
아일랜드,20-24세,0,2026-05-31
아일랜드,25-29세,0,2026-05-31
아일랜드,30-34세,0,2026-05-31
아일랜드,35-39세,2,2026-05-31
아일랜드,40-44세,2,2026-05-31
아일랜드,45-49세,0,2026-05-31
아일랜드,50-54세,1,2026-05-31
아일랜드,55-59세,0,2026-05-31
아일랜드,60-64세,0,2026-05-31
아일랜드,65-69세,0,2026-05-31
아일랜드,70-74세,0,2026-05-31
아일랜드,75-79세,0,2026-05-31
아일랜드,80-84세,0,2026-05-31
아일랜드,85-89세,0,2026-05-31
아일랜드,90-94세,0,2026-05-31
알제리,0-4세,0,2026-05-31
알제리,05-09세,0,2026-05-31
알제리,10-14세,0,2026-05-31
알제리,15-19세,0,2026-05-31
알제리,20-24세,0,2026-05-31
알제리,25-29세,1,2026-05-31
알제리,30-34세,1,2026-05-31
알제리,35-39세,3,2026-05-31
알제리,40-44세,1,2026-05-31
알제리,45-49세,1,2026-05-31
알제리,50-54세,0,2026-05-31
알제리,55-59세,0,2026-05-31
알제리,60-64세,0,2026-05-31
알제리,65-69세,0,2026-05-31
알제리,70-74세,0,2026-05-31
알제리,75-79세,0,2026-05-31
알제리,80-84세,0,2026-05-31
알제리,85-89세,0,2026-05-31
알제리,90-94세,0,2026-05-31
에스토니아,0-4세,0,2026-05-31
에스토니아,05-09세,0,2026-05-31
에스토니아,10-14세,0,2026-05-31
에스토니아,15-19세,0,2026-05-31
에스토니아,20-24세,0,2026-05-31
에스토니아,25-29세,0,2026-05-31
에스토니아,30-34세,0,2026-05-31
에스토니아,35-39세,0,2026-05-31
에스토니아,40-44세,1,2026-05-31
에스토니아,45-49세,0,2026-05-31
에스토니아,50-54세,0,2026-05-31
에스토니아,55-59세,0,2026-05-31
에스토니아,60-64세,0,2026-05-31
에스토니아,65-69세,0,2026-05-31
에스토니아,70-74세,0,2026-05-31
에스토니아,75-79세,0,2026-05-31
에스토니아,80-84세,0,2026-05-31
에스토니아,85-89세,0,2026-05-31
에스토니아,90-94세,0,2026-05-31
에콰도르,0-4세,0,2026-05-31
에콰도르,05-09세,0,2026-05-31
에콰도르,10-14세,0,2026-05-31
에콰도르,15-19세,0,2026-05-31
에콰도르,20-24세,0,2026-05-31
에콰도르,25-29세,0,2026-05-31
에콰도르,30-34세,0,2026-05-31
에콰도르,35-39세,0,2026-05-31
에콰도르,40-44세,0,2026-05-31
에콰도르,45-49세,0,2026-05-31
에콰도르,50-54세,0,2026-05-31
에콰도르,55-59세,1,2026-05-31
에콰도르,60-64세,0,2026-05-31
에콰도르,65-69세,0,2026-05-31
에콰도르,70-74세,1,2026-05-31
에콰도르,75-79세,0,2026-05-31
에콰도르,80-84세,0,2026-05-31
에콰도르,85-89세,0,2026-05-31
에콰도르,90-94세,0,2026-05-31
에티오피아,0-4세,0,2026-05-31
에티오피아,05-09세,0,2026-05-31
에티오피아,10-14세,0,2026-05-31
에티오피아,15-19세,0,2026-05-31
에티오피아,20-24세,0,2026-05-31
에티오피아,25-29세,0,2026-05-31
에티오피아,30-34세,1,2026-05-31
에티오피아,35-39세,0,2026-05-31
에티오피아,40-44세,0,2026-05-31
에티오피아,45-49세,0,2026-05-31
에티오피아,50-54세,1,2026-05-31
에티오피아,55-59세,0,2026-05-31
에티오피아,60-64세,0,2026-05-31
에티오피아,65-69세,0,2026-05-31
에티오피아,70-74세,0,2026-05-31
에티오피아,75-79세,0,2026-05-31
에티오피아,80-84세,0,2026-05-31
에티오피아,85-89세,0,2026-05-31
에티오피아,90-94세,0,2026-05-31
영국,0-4세,0,2026-05-31
영국,05-09세,1,2026-05-31
영국,10-14세,1,2026-05-31
영국,15-19세,0,2026-05-31
영국,20-24세,1,2026-05-31
영국,25-29세,4,2026-05-31
영국,30-34세,8,2026-05-31
영국,35-39세,4,2026-05-31
영국,40-44세,7,2026-05-31
영국,45-49세,5,2026-05-31
영국,50-54세,6,2026-05-31
영국,55-59세,12,2026-05-31
영국,60-64세,9,2026-05-31
영국,65-69세,9,2026-05-31
영국,70-74세,6,2026-05-31
영국,75-79세,2,2026-05-31
영국,80-84세,0,2026-05-31
영국,85-89세,1,2026-05-31
영국,90-94세,0,2026-05-31
예멘공화국,0-4세,2,2026-05-31
예멘공화국,05-09세,3,2026-05-31
예멘공화국,10-14세,0,2026-05-31
예멘공화국,15-19세,0,2026-05-31
예멘공화국,20-24세,0,2026-05-31
예멘공화국,25-29세,1,2026-05-31
예멘공화국,30-34세,4,2026-05-31
예멘공화국,35-39세,5,2026-05-31
예멘공화국,40-44세,3,2026-05-31
예멘공화국,45-49세,1,2026-05-31
예멘공화국,50-54세,0,2026-05-31
예멘공화국,55-59세,0,2026-05-31
예멘공화국,60-64세,0,2026-05-31
예멘공화국,65-69세,0,2026-05-31
예멘공화국,70-74세,0,2026-05-31
예멘공화국,75-79세,0,2026-05-31
예멘공화국,80-84세,0,2026-05-31
예멘공화국,85-89세,0,2026-05-31
예멘공화국,90-94세,0,2026-05-31
오스트레일리아,0-4세,0,2026-05-31
오스트레일리아,05-09세,1,2026-05-31
오스트레일리아,10-14세,4,2026-05-31
오스트레일리아,15-19세,0,2026-05-31
오스트레일리아,20-24세,0,2026-05-31
오스트레일리아,25-29세,0,2026-05-31
오스트레일리아,30-34세,1,2026-05-31
오스트레일리아,35-39세,3,2026-05-31
오스트레일리아,40-44세,3,2026-05-31
오스트레일리아,45-49세,1,2026-05-31
오스트레일리아,50-54세,2,2026-05-31
오스트레일리아,55-59세,4,2026-05-31
오스트레일리아,60-64세,2,2026-05-31
오스트레일리아,65-69세,2,2026-05-31
오스트레일리아,70-74세,0,2026-05-31
오스트레일리아,75-79세,1,2026-05-31
오스트레일리아,80-84세,0,2026-05-31
오스트레일리아,85-89세,0,2026-05-31
오스트레일리아,90-94세,0,2026-05-31
우간다,0-4세,0,2026-05-31
우간다,05-09세,0,2026-05-31
우간다,10-14세,0,2026-05-31
우간다,15-19세,0,2026-05-31
우간다,20-24세,0,2026-05-31
우간다,25-29세,0,2026-05-31
우간다,30-34세,0,2026-05-31
우간다,35-39세,0,2026-05-31
우간다,40-44세,0,2026-05-31
우간다,45-49세,0,2026-05-31
우간다,50-54세,1,2026-05-31
우간다,55-59세,0,2026-05-31
우간다,60-64세,0,2026-05-31
우간다,65-69세,0,2026-05-31
우간다,70-74세,0,2026-05-31
우간다,75-79세,0,2026-05-31
우간다,80-84세,0,2026-05-31
우간다,85-89세,0,2026-05-31
우간다,90-94세,0,2026-05-31
우즈베키스탄,0-4세,154,2026-05-31
우즈베키스탄,05-09세,88,2026-05-31
우즈베키스탄,10-14세,16,2026-05-31
우즈베키스탄,15-19세,14,2026-05-31
우즈베키스탄,20-24세,108,2026-05-31
우즈베키스탄,25-29세,276,2026-05-31
우즈베키스탄,30-34세,407,2026-05-31
우즈베키스탄,35-39세,300,2026-05-31
우즈베키스탄,40-44세,206,2026-05-31
우즈베키스탄,45-49세,63,2026-05-31
우즈베키스탄,50-54세,20,2026-05-31
우즈베키스탄,55-59세,8,2026-05-31
우즈베키스탄,60-64세,3,2026-05-31
우즈베키스탄,65-69세,1,2026-05-31
우즈베키스탄,70-74세,0,2026-05-31
우즈베키스탄,75-79세,0,2026-05-31
우즈베키스탄,80-84세,0,2026-05-31
우즈베키스탄,85-89세,0,2026-05-31
우즈베키스탄,90-94세,0,2026-05-31
우크라이나,0-4세,0,2026-05-31
우크라이나,05-09세,1,2026-05-31
우크라이나,10-14세,2,2026-05-31
우크라이나,15-19세,2,2026-05-31
우크라이나,20-24세,0,2026-05-31
우크라이나,25-29세,2,2026-05-31
우크라이나,30-34세,0,2026-05-31
우크라이나,35-39세,2,2026-05-31
우크라이나,40-44세,1,2026-05-31
우크라이나,45-49세,2,2026-05-31
우크라이나,50-54세,2,2026-05-31
우크라이나,55-59세,1,2026-05-31
우크라이나,60-64세,0,2026-05-31
우크라이나,65-69세,0,2026-05-31
우크라이나,70-74세,1,2026-05-31
우크라이나,75-79세,0,2026-05-31
우크라이나,80-84세,0,2026-05-31
우크라이나,85-89세,0,2026-05-31
우크라이나,90-94세,0,2026-05-31
이라크,0-4세,0,2026-05-31
이라크,05-09세,0,2026-05-31
이라크,10-14세,0,2026-05-31
이라크,15-19세,0,2026-05-31
이라크,20-24세,0,2026-05-31
이라크,25-29세,1,2026-05-31
이라크,30-34세,0,2026-05-31
이라크,35-39세,0,2026-05-31
이라크,40-44세,0,2026-05-31
이라크,45-49세,0,2026-05-31
이라크,50-54세,0,2026-05-31
이라크,55-59세,0,2026-05-31
이라크,60-64세,0,2026-05-31
이라크,65-69세,0,2026-05-31
이라크,70-74세,0,2026-05-31
이라크,75-79세,0,2026-05-31
이라크,80-84세,0,2026-05-31
이라크,85-89세,0,2026-05-31
이라크,90-94세,0,2026-05-31
이란,0-4세,0,2026-05-31
이란,05-09세,0,2026-05-31
이란,10-14세,0,2026-05-31
이란,15-19세,2,2026-05-31
이란,20-24세,0,2026-05-31
이란,25-29세,0,2026-05-31
이란,30-34세,0,2026-05-31
이란,35-39세,0,2026-05-31
이란,40-44세,1,2026-05-31
이란,45-49세,0,2026-05-31
이란,50-54세,0,2026-05-31
이란,55-59세,3,2026-05-31
이란,60-64세,0,2026-05-31
이란,65-69세,0,2026-05-31
이란,70-74세,0,2026-05-31
이란,75-79세,0,2026-05-31
이란,80-84세,0,2026-05-31
이란,85-89세,0,2026-05-31
이란,90-94세,0,2026-05-31
이집트,0-4세,0,2026-05-31
이집트,05-09세,1,2026-05-31
이집트,10-14세,1,2026-05-31
이집트,15-19세,2,2026-05-31
이집트,20-24세,0,2026-05-31
이집트,25-29세,1,2026-05-31
이집트,30-34세,2,2026-05-31
이집트,35-39세,3,2026-05-31
이집트,40-44세,1,2026-05-31
이집트,45-49세,2,2026-05-31
이집트,50-54세,1,2026-05-31
이집트,55-59세,1,2026-05-31
이집트,60-64세,0,2026-05-31
이집트,65-69세,0,2026-05-31
이집트,70-74세,0,2026-05-31
이집트,75-79세,0,2026-05-31
이집트,80-84세,0,2026-05-31
이집트,85-89세,0,2026-05-31
이집트,90-94세,0,2026-05-31
이탈리아,0-4세,1,2026-05-31
이탈리아,05-09세,3,2026-05-31
이탈리아,10-14세,1,2026-05-31
이탈리아,15-19세,0,2026-05-31
이탈리아,20-24세,0,2026-05-31
이탈리아,25-29세,0,2026-05-31
이탈리아,30-34세,4,2026-05-31
이탈리아,35-39세,4,2026-05-31
이탈리아,40-44세,6,2026-05-31
이탈리아,45-49세,4,2026-05-31
이탈리아,50-54세,6,2026-05-31
이탈리아,55-59세,4,2026-05-31
이탈리아,60-64세,0,2026-05-31
이탈리아,65-69세,0,2026-05-31
이탈리아,70-74세,1,2026-05-31
이탈리아,75-79세,0,2026-05-31
이탈리아,80-84세,0,2026-05-31
이탈리아,85-89세,0,2026-05-31
이탈리아,90-94세,0,2026-05-31
인도,0-4세,9,2026-05-31
인도,05-09세,10,2026-05-31
인도,10-14세,16,2026-05-31
인도,15-19세,17,2026-05-31
인도,20-24세,2,2026-05-31
인도,25-29세,26,2026-05-31
인도,30-34세,36,2026-05-31
인도,35-39세,48,2026-05-31
인도,40-44세,40,2026-05-31
인도,45-49세,43,2026-05-31
인도,50-54세,18,2026-05-31
인도,55-59세,6,2026-05-31
인도,60-64세,0,2026-05-31
인도,65-69세,0,2026-05-31
인도,70-74세,2,2026-05-31
인도,75-79세,1,2026-05-31
인도,80-84세,0,2026-05-31
인도,85-89세,0,2026-05-31
인도,90-94세,0,2026-05-31
인도네시아,0-4세,9,2026-05-31
인도네시아,05-09세,8,2026-05-31
인도네시아,10-14세,2,2026-05-31
인도네시아,15-19세,0,2026-05-31
인도네시아,20-24세,278,2026-05-31
인도네시아,25-29세,662,2026-05-31
인도네시아,30-34세,566,2026-05-31
인도네시아,35-39세,463,2026-05-31
인도네시아,40-44세,206,2026-05-31
인도네시아,45-49세,58,2026-05-31
인도네시아,50-54세,15,2026-05-31
인도네시아,55-59세,3,2026-05-31
인도네시아,60-64세,1,2026-05-31
인도네시아,65-69세,0,2026-05-31
인도네시아,70-74세,0,2026-05-31
인도네시아,75-79세,0,2026-05-31
인도네시아,80-84세,0,2026-05-31
인도네시아,85-89세,0,2026-05-31
인도네시아,90-94세,0,2026-05-31
일본,0-4세,4,2026-05-31
일본,05-09세,7,2026-05-31
일본,10-14세,3,2026-05-31
일본,15-19세,0,2026-05-31
일본,20-24세,1,2026-05-31
일본,25-29세,25,2026-05-31
일본,30-34세,24,2026-05-31
일본,35-39세,11,2026-05-31
일본,40-44세,16,2026-05-31
일본,45-49세,12,2026-05-31
일본,50-54세,10,2026-05-31
일본,55-59세,11,2026-05-31
일본,60-64세,10,2026-05-31
일본,65-69세,2,2026-05-31
일본,70-74세,2,2026-05-31
일본,75-79세,2,2026-05-31
일본,80-84세,0,2026-05-31
일본,85-89세,0,2026-05-31
일본,90-94세,0,2026-05-31
중국,0-4세,4,2026-05-31
중국,05-09세,28,2026-05-31
중국,10-14세,17,2026-05-31
중국,15-19세,12,2026-05-31
중국,20-24세,5,2026-05-31
중국,25-29세,6,2026-05-31
중국,30-34세,12,2026-05-31
중국,35-39세,42,2026-05-31
중국,40-44세,52,2026-05-31
중국,45-49세,56,2026-05-31
중국,50-54세,53,2026-05-31
중국,55-59세,45,2026-05-31
중국,60-64세,15,2026-05-31
중국,65-69세,5,2026-05-31
중국,70-74세,3,2026-05-31
중국,75-79세,3,2026-05-31
중국,80-84세,0,2026-05-31
중국,85-89세,0,2026-05-31
중국,90-94세,0,2026-05-31
지부티,0-4세,0,2026-05-31
지부티,05-09세,1,2026-05-31
지부티,10-14세,1,2026-05-31
지부티,15-19세,0,2026-05-31
지부티,20-24세,0,2026-05-31
지부티,25-29세,0,2026-05-31
지부티,30-34세,1,2026-05-31
지부티,35-39세,0,2026-05-31
지부티,40-44세,0,2026-05-31
지부티,45-49세,0,2026-05-31
지부티,50-54세,0,2026-05-31
지부티,55-59세,0,2026-05-31
지부티,60-64세,0,2026-05-31
지부티,65-69세,0,2026-05-31
지부티,70-74세,0,2026-05-31
지부티,75-79세,0,2026-05-31
지부티,80-84세,0,2026-05-31
지부티,85-89세,0,2026-05-31
지부티,90-94세,0,2026-05-31
카메룬,0-4세,0,2026-05-31
카메룬,05-09세,0,2026-05-31
카메룬,10-14세,0,2026-05-31
카메룬,15-19세,0,2026-05-31
카메룬,20-24세,0,2026-05-31
카메룬,25-29세,0,2026-05-31
카메룬,30-34세,2,2026-05-31
카메룬,35-39세,0,2026-05-31
카메룬,40-44세,0,2026-05-31
카메룬,45-49세,0,2026-05-31
카메룬,50-54세,0,2026-05-31
카메룬,55-59세,0,2026-05-31
카메룬,60-64세,0,2026-05-31
카메룬,65-69세,0,2026-05-31
카메룬,70-74세,0,2026-05-31
카메룬,75-79세,0,2026-05-31
카메룬,80-84세,0,2026-05-31
카메룬,85-89세,0,2026-05-31
카메룬,90-94세,0,2026-05-31
카자흐스탄,0-4세,3,2026-05-31
카자흐스탄,05-09세,15,2026-05-31
카자흐스탄,10-14세,13,2026-05-31
카자흐스탄,15-19세,9,2026-05-31
카자흐스탄,20-24세,13,2026-05-31
카자흐스탄,25-29세,31,2026-05-31
카자흐스탄,30-34세,23,2026-05-31
카자흐스탄,35-39세,9,2026-05-31
카자흐스탄,40-44세,12,2026-05-31
카자흐스탄,45-49세,5,2026-05-31
카자흐스탄,50-54세,1,2026-05-31
카자흐스탄,55-59세,1,2026-05-31
카자흐스탄,60-64세,0,2026-05-31
카자흐스탄,65-69세,0,2026-05-31
카자흐스탄,70-74세,0,2026-05-31
카자흐스탄,75-79세,0,2026-05-31
카자흐스탄,80-84세,0,2026-05-31
카자흐스탄,85-89세,0,2026-05-31
카자흐스탄,90-94세,0,2026-05-31
카타르,0-4세,0,2026-05-31
카타르,05-09세,0,2026-05-31
카타르,10-14세,0,2026-05-31
카타르,15-19세,0,2026-05-31
카타르,20-24세,0,2026-05-31
카타르,25-29세,0,2026-05-31
카타르,30-34세,2,2026-05-31
카타르,35-39세,0,2026-05-31
카타르,40-44세,0,2026-05-31
카타르,45-49세,0,2026-05-31
카타르,50-54세,0,2026-05-31
카타르,55-59세,0,2026-05-31
카타르,60-64세,0,2026-05-31
카타르,65-69세,0,2026-05-31
카타르,70-74세,0,2026-05-31
카타르,75-79세,0,2026-05-31
카타르,80-84세,0,2026-05-31
카타르,85-89세,0,2026-05-31
카타르,90-94세,0,2026-05-31
캄보디아,0-4세,0,2026-05-31
캄보디아,05-09세,0,2026-05-31
캄보디아,10-14세,0,2026-05-31
캄보디아,15-19세,0,2026-05-31
캄보디아,20-24세,61,2026-05-31
캄보디아,25-29세,77,2026-05-31
캄보디아,30-34세,82,2026-05-31
캄보디아,35-39세,74,2026-05-31
캄보디아,40-44세,25,2026-05-31
캄보디아,45-49세,4,2026-05-31
캄보디아,50-54세,0,2026-05-31
캄보디아,55-59세,2,2026-05-31
캄보디아,60-64세,2,2026-05-31
캄보디아,65-69세,0,2026-05-31
캄보디아,70-74세,0,2026-05-31
캄보디아,75-79세,0,2026-05-31
캄보디아,80-84세,0,2026-05-31
캄보디아,85-89세,0,2026-05-31
캄보디아,90-94세,0,2026-05-31
캐나다,0-4세,0,2026-05-31
캐나다,05-09세,0,2026-05-31
캐나다,10-14세,2,2026-05-31
캐나다,15-19세,1,2026-05-31
캐나다,20-24세,0,2026-05-31
캐나다,25-29세,0,2026-05-31
캐나다,30-34세,0,2026-05-31
캐나다,35-39세,1,2026-05-31
캐나다,40-44세,3,2026-05-31
캐나다,45-49세,7,2026-05-31
캐나다,50-54세,4,2026-05-31
캐나다,55-59세,1,2026-05-31
캐나다,60-64세,2,2026-05-31
캐나다,65-69세,3,2026-05-31
캐나다,70-74세,3,2026-05-31
캐나다,75-79세,0,2026-05-31
캐나다,80-84세,0,2026-05-31
캐나다,85-89세,0,2026-05-31
캐나다,90-94세,0,2026-05-31
케냐,0-4세,0,2026-05-31
케냐,05-09세,0,2026-05-31
케냐,10-14세,0,2026-05-31
케냐,15-19세,0,2026-05-31
케냐,20-24세,0,2026-05-31
케냐,25-29세,0,2026-05-31
케냐,30-34세,1,2026-05-31
케냐,35-39세,0,2026-05-31
케냐,40-44세,0,2026-05-31
케냐,45-49세,0,2026-05-31
케냐,50-54세,0,2026-05-31
케냐,55-59세,0,2026-05-31
케냐,60-64세,0,2026-05-31
케냐,65-69세,0,2026-05-31
케냐,70-74세,0,2026-05-31
케냐,75-79세,0,2026-05-31
케냐,80-84세,0,2026-05-31
케냐,85-89세,0,2026-05-31
케냐,90-94세,0,2026-05-31
코트디부아르,0-4세,0,2026-05-31
코트디부아르,05-09세,0,2026-05-31
코트디부아르,10-14세,0,2026-05-31
코트디부아르,15-19세,0,2026-05-31
코트디부아르,20-24세,0,2026-05-31
코트디부아르,25-29세,1,2026-05-31
코트디부아르,30-34세,0,2026-05-31
코트디부아르,35-39세,0,2026-05-31
코트디부아르,40-44세,0,2026-05-31
코트디부아르,45-49세,0,2026-05-31
코트디부아르,50-54세,0,2026-05-31
코트디부아르,55-59세,0,2026-05-31
코트디부아르,60-64세,0,2026-05-31
코트디부아르,65-69세,0,2026-05-31
코트디부아르,70-74세,0,2026-05-31
코트디부아르,75-79세,0,2026-05-31
코트디부아르,80-84세,0,2026-05-31
코트디부아르,85-89세,0,2026-05-31
코트디부아르,90-94세,0,2026-05-31
콜롬비아,0-4세,0,2026-05-31
콜롬비아,05-09세,0,2026-05-31
콜롬비아,10-14세,0,2026-05-31
콜롬비아,15-19세,1,2026-05-31
콜롬비아,20-24세,0,2026-05-31
콜롬비아,25-29세,0,2026-05-31
콜롬비아,30-34세,0,2026-05-31
콜롬비아,35-39세,1,2026-05-31
콜롬비아,40-44세,0,2026-05-31
콜롬비아,45-49세,0,2026-05-31
콜롬비아,50-54세,1,2026-05-31
콜롬비아,55-59세,0,2026-05-31
콜롬비아,60-64세,0,2026-05-31
콜롬비아,65-69세,0,2026-05-31
콜롬비아,70-74세,0,2026-05-31
콜롬비아,75-79세,0,2026-05-31
콜롬비아,80-84세,0,2026-05-31
콜롬비아,85-89세,0,2026-05-31
콜롬비아,90-94세,0,2026-05-31
크로아티아,0-4세,0,2026-05-31
크로아티아,05-09세,0,2026-05-31
크로아티아,10-14세,0,2026-05-31
크로아티아,15-19세,1,2026-05-31
크로아티아,20-24세,1,2026-05-31
크로아티아,25-29세,0,2026-05-31
크로아티아,30-34세,0,2026-05-31
크로아티아,35-39세,0,2026-05-31
크로아티아,40-44세,0,2026-05-31
크로아티아,45-49세,2,2026-05-31
크로아티아,50-54세,2,2026-05-31
크로아티아,55-59세,3,2026-05-31
크로아티아,60-64세,1,2026-05-31
크로아티아,65-69세,0,2026-05-31
크로아티아,70-74세,0,2026-05-31
크로아티아,75-79세,0,2026-05-31
크로아티아,80-84세,0,2026-05-31
크로아티아,85-89세,0,2026-05-31
크로아티아,90-94세,0,2026-05-31
키르기즈,0-4세,2,2026-05-31
키르기즈,05-09세,0,2026-05-31
키르기즈,10-14세,0,2026-05-31
키르기즈,15-19세,0,2026-05-31
키르기즈,20-24세,2,2026-05-31
키르기즈,25-29세,5,2026-05-31
키르기즈,30-34세,8,2026-05-31
키르기즈,35-39세,8,2026-05-31
키르기즈,40-44세,1,2026-05-31
키르기즈,45-49세,4,2026-05-31
키르기즈,50-54세,0,2026-05-31
키르기즈,55-59세,1,2026-05-31
키르기즈,60-64세,0,2026-05-31
키르기즈,65-69세,0,2026-05-31
키르기즈,70-74세,0,2026-05-31
키르기즈,75-79세,0,2026-05-31
키르기즈,80-84세,0,2026-05-31
키르기즈,85-89세,0,2026-05-31
키르기즈,90-94세,0,2026-05-31
타이,0-4세,0,2026-05-31
타이,05-09세,0,2026-05-31
타이,10-14세,1,2026-05-31
타이,15-19세,1,2026-05-31
타이,20-24세,11,2026-05-31
타이,25-29세,86,2026-05-31
타이,30-34세,156,2026-05-31
타이,35-39세,155,2026-05-31
타이,40-44세,136,2026-05-31
타이,45-49세,98,2026-05-31
타이,50-54세,73,2026-05-31
타이,55-59세,7,2026-05-31
타이,60-64세,0,2026-05-31
타이,65-69세,1,2026-05-31
타이,70-74세,0,2026-05-31
타이,75-79세,1,2026-05-31
타이,80-84세,0,2026-05-31
타이,85-89세,0,2026-05-31
타이,90-94세,0,2026-05-31
타이완,0-4세,0,2026-05-31
타이완,05-09세,0,2026-05-31
타이완,10-14세,1,2026-05-31
타이완,15-19세,0,2026-05-31
타이완,20-24세,1,2026-05-31
타이완,25-29세,8,2026-05-31
타이완,30-34세,4,2026-05-31
타이완,35-39세,8,2026-05-31
타이완,40-44세,3,2026-05-31
타이완,45-49세,5,2026-05-31
타이완,50-54세,1,2026-05-31
타이완,55-59세,3,2026-05-31
타이완,60-64세,2,2026-05-31
타이완,65-69세,0,2026-05-31
타이완,70-74세,1,2026-05-31
타이완,75-79세,1,2026-05-31
타이완,80-84세,0,2026-05-31
타이완,85-89세,0,2026-05-31
타이완,90-94세,0,2026-05-31
타지키스탄,0-4세,3,2026-05-31
타지키스탄,05-09세,1,2026-05-31
타지키스탄,10-14세,0,2026-05-31
타지키스탄,15-19세,0,2026-05-31
타지키스탄,20-24세,2,2026-05-31
타지키스탄,25-29세,3,2026-05-31
타지키스탄,30-34세,1,2026-05-31
타지키스탄,35-39세,5,2026-05-31
타지키스탄,40-44세,3,2026-05-31
타지키스탄,45-49세,0,2026-05-31
타지키스탄,50-54세,0,2026-05-31
타지키스탄,55-59세,0,2026-05-31
타지키스탄,60-64세,0,2026-05-31
타지키스탄,65-69세,0,2026-05-31
타지키스탄,70-74세,0,2026-05-31
타지키스탄,75-79세,0,2026-05-31
타지키스탄,80-84세,0,2026-05-31
타지키스탄,85-89세,0,2026-05-31
타지키스탄,90-94세,0,2026-05-31
탄자니아,0-4세,1,2026-05-31
탄자니아,05-09세,0,2026-05-31
탄자니아,10-14세,0,2026-05-31
탄자니아,15-19세,0,2026-05-31
탄자니아,20-24세,6,2026-05-31
탄자니아,25-29세,7,2026-05-31
탄자니아,30-34세,18,2026-05-31
탄자니아,35-39세,12,2026-05-31
탄자니아,40-44세,14,2026-05-31
탄자니아,45-49세,15,2026-05-31
탄자니아,50-54세,6,2026-05-31
탄자니아,55-59세,1,2026-05-31
탄자니아,60-64세,1,2026-05-31
탄자니아,65-69세,0,2026-05-31
탄자니아,70-74세,0,2026-05-31
탄자니아,75-79세,0,2026-05-31
탄자니아,80-84세,0,2026-05-31
탄자니아,85-89세,0,2026-05-31
탄자니아,90-94세,0,2026-05-31
투르크메니스탄,0-4세,0,2026-05-31
투르크메니스탄,05-09세,0,2026-05-31
투르크메니스탄,10-14세,2,2026-05-31
투르크메니스탄,15-19세,0,2026-05-31
투르크메니스탄,20-24세,1,2026-05-31
투르크메니스탄,25-29세,1,2026-05-31
투르크메니스탄,30-34세,4,2026-05-31
투르크메니스탄,35-39세,2,2026-05-31
